Word,Start Timecode,End Timecode,Speaker
The,00:00:11:49,00:00:11:54,Speaker1
reading's,00:00:11:54,00:00:12:12,Speaker1
growing,00:00:12:12,00:00:12:30,Speaker1
stronger.,00:00:12:30,00:00:12:57,Speaker1
"Captain,",00:00:12:57,00:00:13:31,""
coming,00:00:13:39,00:00:14:06,""
from,00:00:14:06,00:00:14:16,""
a,00:00:14:16,00:00:14:22,""
star,00:00:14:22,00:00:14:38,""
system,00:00:14:38,00:00:15:01,""
directly,00:00:15:01,00:00:15:30,""
ahead.,00:00:15:30,00:00:16:06,""
It's,00:00:18:22,00:00:18:33,Speaker2
not,00:00:18:33,00:00:18:44,Speaker2
a,00:00:18:44,00:00:18:49,Speaker2
"signal,",00:00:18:49,00:00:19:11,Speaker2
sir.,00:00:19:11,00:00:19:36,Speaker2
Does,00:00:19:58,00:00:20:16,Speaker2
not,00:00:20:16,00:00:20:25,Speaker2
seem,00:00:20:25,00:00:20:36,Speaker2
to,00:00:20:36,00:00:20:41,Speaker2
even,00:00:20:41,00:00:20:54,Speaker2
exist.,00:00:20:54,00:00:21:19,Speaker2
And,00:00:21:19,00:00:21:26,Speaker2
yet,00:00:21:26,00:00:21:37,Speaker2
it's,00:00:21:37,00:00:21:46,Speaker2
affecting,00:00:21:46,00:00:22:07,Speaker2
all,00:00:22:07,00:00:22:16,Speaker2
my,00:00:22:16,00:00:22:25,Speaker2
channels.,00:00:22:25,00:00:23:10,Speaker2
Well.,00:00:26:21,00:00:26:55,Speaker3
Someone,00:00:27:54,00:00:28:53,Speaker3
or,00:00:28:53,00:00:29:16,Speaker3
something,00:00:29:16,00:00:30:07,Speaker3
is,00:00:30:07,00:00:30:19,Speaker3
attempting,00:00:30:19,00:00:30:46,Speaker3
to,00:00:30:48,00:00:30:57,Speaker3
attract,00:00:30:57,00:00:31:19,Speaker3
our,00:00:31:19,00:00:31:30,Speaker3
attention.,00:00:31:30,00:00:32:11,Speaker3
Someone,00:00:32:13,00:00:33:05,Speaker1
or,00:00:33:05,00:00:33:14,Speaker1
something,00:00:33:14,00:00:33:37,Speaker1
has,00:00:33:37,00:00:33:46,Speaker1
exceeded,00:00:33:46,00:00:34:24,Speaker1
our,00:00:35:34,00:00:35:45,Speaker1
distress,00:00:35:45,00:00:36:05,Speaker1
signal.,00:00:36:05,00:00:36:23,Speaker1
Relays,00:00:36:23,00:00:36:39,Speaker1
have,00:00:36:39,00:00:36:45,Speaker1
been,00:00:36:45,00:00:36:54,Speaker1
activated.,00:00:36:54,00:00:37:19,Speaker1
We've,00:00:37:19,00:00:37:26,Speaker1
been,00:00:37:26,00:00:37:33,Speaker1
given,00:00:37:33,00:00:37:42,Speaker1
a,00:00:37:42,00:00:37:48,Speaker1
direction,00:00:37:48,00:00:38:09,Speaker1
to,00:00:38:09,00:00:38:15,Speaker1
follow.,00:00:38:15,00:00:38:29,Speaker1
But,00:00:38:29,00:00:38:38,Speaker1
how?,00:00:38:38,00:00:39:12,Speaker1
What's,00:00:40:20,00:00:40:42,Speaker1
causing,00:00:40:42,00:00:41:07,Speaker1
it?,00:00:41:07,00:00:41:27,Speaker1
I,00:00:41:28,00:00:41:52,Speaker3
do,00:00:41:52,00:00:41:59,Speaker3
not,00:00:41:59,00:00:42:12,Speaker3
know.,00:00:42:12,00:00:42:42,Speaker3
Not,00:00:44:12,00:00:44:23,Speaker3
even,00:00:44:23,00:00:44:34,Speaker3
a,00:00:44:34,00:00:44:39,Speaker3
Vulcan,00:00:44:39,00:00:45:04,Speaker3
can,00:00:45:04,00:00:45:21,Speaker3
know,00:00:45:21,00:00:45:40,Speaker3
the,00:00:45:40,00:00:45:51,Speaker3
unknown,00:00:45:51,00:00:46:25,Speaker3
captain.,00:00:46:25,00:00:47:03,Speaker3
We,00:00:47:09,00:00:47:37,Speaker3
are,00:00:47:37,00:00:47:54,Speaker3
hundreds,00:00:47:54,00:00:48:19,Speaker3
of,00:00:48:19,00:00:48:26,Speaker3
light,00:00:48:26,00:00:48:40,Speaker3
years,00:00:48:42,00:00:49:11,Speaker3
past,00:00:49:11,00:00:49:33,Speaker3
where,00:00:49:33,00:00:49:49,Speaker3
any,00:00:49:49,00:00:50:03,Speaker3
Earth,00:00:50:03,00:00:50:19,Speaker3
ship,00:00:50:19,00:00:50:43,Speaker3
has,00:00:50:43,00:00:51:01,Speaker3
ever,00:00:51:01,00:00:51:15,Speaker3
explored.,00:00:51:15,00:00:51:57,Speaker3
Planet,00:00:52:06,00:00:52:31,Speaker1
dead,00:00:52:31,00:00:52:40,Speaker1
ahead.,00:00:52:40,00:00:52:52,Speaker1
Captain,00:00:52:52,00:00:53:16,Speaker1
becoming,00:00:53:16,00:00:53:43,Speaker1
visual.,00:00:53:43,00:00:54:17,Speaker1
Class-m,00:00:58:56,00:00:59:27,""
"planet,",00:00:59:27,00:00:59:46,""
captain.,00:00:59:46,00:01:00:15,""
Close,00:01:00:40,00:01:00:57,Speaker1
to,00:01:00:57,00:01:01:04,Speaker1
Earth,00:01:01:04,00:01:01:15,Speaker1
conditions.,00:01:01:15,00:01:01:52,Speaker1
With,00:01:01:52,00:01:02:18,Speaker3
two,00:01:02:18,00:01:02:30,Speaker3
very,00:01:02:30,00:01:02:46,Speaker3
important,00:01:02:46,00:01:03:13,Speaker3
exceptions.,00:01:03:13,00:01:03:51,Speaker3
It,00:01:03:51,00:01:04:02,Speaker3
is,00:01:04:02,00:01:04:11,Speaker3
much,00:01:04:11,00:01:04:24,Speaker3
older,00:01:04:24,00:01:04:38,Speaker3
than,00:01:04:38,00:01:04:49,Speaker3
"Earth,",00:01:04:49,00:01:05:19,Speaker3
and,00:01:05:19,00:01:05:45,Speaker3
about,00:01:05:45,00:01:05:57,Speaker3
a,00:01:05:57,00:01:06:01,Speaker3
half,00:01:06:01,00:01:06:12,Speaker3
million,00:01:06:12,00:01:06:30,Speaker3
years,00:01:06:30,00:01:06:42,Speaker3
"ago,",00:01:06:42,00:01:07:02,Speaker3
its,00:01:07:02,00:01:07:13,Speaker3
atmosphere,00:01:07:13,00:01:07:42,Speaker3
was,00:01:07:42,00:01:07:51,Speaker3
totally,00:01:07:51,00:01:08:10,Speaker3
ripped,00:01:08:10,00:01:08:23,Speaker3
away,00:01:08:23,00:01:08:36,Speaker3
by,00:01:08:36,00:01:08:52,Speaker3
some,00:01:08:52,00:01:09:04,Speaker3
sort,00:01:09:04,00:01:09:15,Speaker3
of,00:01:09:15,00:01:09:21,Speaker3
cataclysm.,00:01:09:21,00:01:10:09,Speaker3
The,00:01:10:09,00:01:10:33,Speaker3
planet,00:01:10:33,00:01:10:52,Speaker3
has,00:01:10:52,00:01:11:03,Speaker3
evidently,00:01:11:03,00:01:11:28,Speaker3
been,00:01:11:28,00:01:11:39,Speaker3
dead,00:01:11:39,00:01:11:59,Speaker3
since,00:01:11:59,00:01:12:28,Speaker3
then.,00:01:12:28,00:01:13:00,Speaker3
Sensors,00:01:13:00,00:01:13:51,Speaker3
detect,00:01:13:51,00:01:14:10,Speaker3
no,00:01:14:10,00:01:14:21,Speaker3
life,00:01:14:21,00:01:14:34,Speaker3
of,00:01:14:34,00:01:14:39,Speaker3
any,00:01:14:39,00:01:14:48,Speaker3
kind.,00:01:14:48,00:01:15:26,Speaker3
All,00:01:15:42,00:01:16:11,Speaker3
your,00:01:16:11,00:01:16:25,Speaker3
questions,00:01:16:25,00:01:17:05,Speaker3
will,00:01:17:05,00:01:17:16,Speaker3
